accession,label,role,project13_eligible,gene_id,gene_name,feature_type,gene_biotype,contig,strand,cds_bases,callable_cds_bases,callable_fraction,meets_callable_threshold,distinct_variant_count,high_impact_variants,moderate_impact_variants,low_impact_variants,modifier_impact_variants,warning_variant_count,variant_density_per_1000_callable_cds,consequence_profile
GCF_000005845.2,MG1655 baseline,baseline,True,b0015,dnaJ,gene,protein_coding,NC_000913.3,+,1131,1131,1.0,True,13,0,3,10,0,0,11.494252873563218,missense_variant:3;synonymous_variant:10
GCF_000005845.2,MG1655 baseline,baseline,True,b0016,insL1,gene,protein_coding,NC_000913.3,+,1113,414,0.3719676549865229,False,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0018,mokC,gene,protein_coding,NC_000913.3,-,210,210,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b4412,hokC,gene,protein_coding,NC_000913.3,-,153,153,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b4413,sokC,gene,ncRNA,NC_000913.3,+,0,0,,False,2,0,0,0,2,0,,intragenic_variant:2
GCF_000005845.2,MG1655 baseline,baseline,True,b0019,nhaA,gene,protein_coding,NC_000913.3,+,1167,1167,1.0,True,12,0,2,10,0,0,10.282776349614396,missense_variant:2;synonymous_variant:10
GCF_000005845.2,MG1655 baseline,baseline,True,b0020,nhaR,gene,protein_coding,NC_000913.3,+,906,906,1.0,True,3,0,1,2,0,0,3.3112582781456954,missense_variant:1;synonymous_variant:2
GCF_000005845.2,MG1655 baseline,baseline,True,b0021,insB1,gene,protein_coding,NC_000913.3,-,504,0,0.0,False,0,0,0,0,0,0,,
GCF_000005845.2,MG1655 baseline,baseline,True,b0022,insA1,gene,protein_coding,NC_000913.3,-,276,20,0.07246376811594203,False,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0023,rpsT,gene,protein_coding,NC_000913.3,-,264,264,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0024,yaaY,gene,protein_coding,NC_000913.3,+,219,219,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0025,ribF,gene,protein_coding,NC_000913.3,+,942,942,1.0,True,9,0,1,8,0,0,9.554140127388536,missense_variant:1;synonymous_variant:8
GCF_000005845.2,MG1655 baseline,baseline,True,b0026,ileS,gene,protein_coding,NC_000913.3,+,2817,2817,1.0,True,37,0,4,33,0,0,13.134540291089811,missense_variant:4;synonymous_variant:33
GCF_000005845.2,MG1655 baseline,baseline,True,b0027,lspA,gene,protein_coding,NC_000913.3,+,495,495,1.0,True,3,0,2,1,0,0,6.0606060606060606,missense_variant:2;synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0028,fkpB,gene,protein_coding,NC_000913.3,+,450,450,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0029,ispH,gene,protein_coding,NC_000913.3,+,951,951,1.0,True,11,0,0,11,0,0,11.566771819137749,synonymous_variant:11
GCF_000005845.2,MG1655 baseline,baseline,True,b0030,rihC,gene,protein_coding,NC_000913.3,+,915,896,0.9792349726775956,True,50,0,9,41,0,0,55.80357142857143,missense_variant:9;synonymous_variant:41
GCF_000005845.2,MG1655 baseline,baseline,True,b0031,dapB,gene,protein_coding,NC_000913.3,+,822,822,1.0,True,18,0,2,16,0,0,21.8978102189781,missense_variant:2;synonymous_variant:16
GCF_000005845.2,MG1655 baseline,baseline,True,b0032,carA,gene,protein_coding,NC_000913.3,+,1149,1149,1.0,True,18,0,0,18,0,0,15.66579634464752,synonymous_variant:18
GCF_000005845.2,MG1655 baseline,baseline,True,b0033,carB,gene,protein_coding,NC_000913.3,+,3222,3222,1.0,True,60,0,2,58,0,0,18.6219739292365,missense_variant:2;synonymous_variant:58
GCF_000005845.2,MG1655 baseline,baseline,True,b0034,caiF,gene,protein_coding,NC_000913.3,+,396,396,1.0,True,2,0,0,2,0,0,5.05050505050505,synonymous_variant:2
GCF_000005845.2,MG1655 baseline,baseline,True,b0035,caiE,gene,protein_coding,NC_000913.3,-,591,591,1.0,True,10,0,5,5,0,0,16.920473773265652,missense_variant:5;synonymous_variant:5
GCF_000005845.2,MG1655 baseline,baseline,True,b0036,caiD,gene,protein_coding,NC_000913.3,-,786,786,1.0,True,11,0,0,11,0,0,13.994910941475826,synonymous_variant:11
GCF_000005845.2,MG1655 baseline,baseline,True,b0037,caiC,gene,protein_coding,NC_000913.3,-,1554,1554,1.0,True,30,0,10,20,0,0,19.305019305019304,missense_variant:10;synonymous_variant:20
GCF_000005845.2,MG1655 baseline,baseline,True,b0038,caiB,gene,protein_coding,NC_000913.3,-,1218,1218,1.0,True,8,1,1,6,0,0,6.568144499178982,frameshift_variant:1;missense_variant:1;synonymous_variant:6
GCF_000005845.2,MG1655 baseline,baseline,True,b0039,caiA,gene,protein_coding,NC_000913.3,-,1143,1143,1.0,True,5,0,0,5,0,0,4.374453193350831,synonymous_variant:5
GCF_000005845.2,MG1655 baseline,baseline,True,b0040,caiT,gene,protein_coding,NC_000913.3,-,1515,1515,1.0,True,12,0,2,10,0,0,7.920792079207921,missense_variant:2;synonymous_variant:10
GCF_000005845.2,MG1655 baseline,baseline,True,b0041,fixA,gene,protein_coding,NC_000913.3,+,771,771,1.0,True,6,0,0,6,0,0,7.782101167315175,synonymous_variant:6
GCF_000005845.2,MG1655 baseline,baseline,True,b0042,fixB,gene,protein_coding,NC_000913.3,+,942,942,1.0,True,1,0,0,1,0,0,1.0615711252653928,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0043,fixC,gene,protein_coding,NC_000913.3,+,1287,1287,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0044,fixX,gene,protein_coding,NC_000913.3,+,288,288,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0045,yaaU,gene,protein_coding,NC_000913.3,+,1332,1332,1.0,True,15,0,0,15,0,0,11.26126126126126,synonymous_variant:15
GCF_000005845.2,MG1655 baseline,baseline,True,b0046,kefF,gene,protein_coding,NC_000913.3,+,531,531,1.0,True,1,0,0,1,0,0,1.8832391713747645,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0047,kefC,gene,protein_coding,NC_000913.3,+,1863,1863,1.0,True,1,0,1,0,0,0,0.5367686527106817,missense_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0048,folA,gene,protein_coding,NC_000913.3,+,480,480,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0049,apaH,gene,protein_coding,NC_000913.3,-,843,843,1.0,True,10,0,0,10,0,0,11.862396204033216,synonymous_variant:10
GCF_000005845.2,MG1655 baseline,baseline,True,b0050,apaG,gene,protein_coding,NC_000913.3,-,378,378,1.0,True,1,0,0,1,0,0,2.6455026455026456,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0051,rsmA,gene,protein_coding,NC_000913.3,-,822,822,1.0,True,7,0,0,7,0,0,8.51581508515815,synonymous_variant:7
GCF_000005845.2,MG1655 baseline,baseline,True,b0052,pdxA,gene,protein_coding,NC_000913.3,-,990,990,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0053,surA,gene,protein_coding,NC_000913.3,-,1287,1287,1.0,True,3,0,0,3,0,0,2.331002331002331,synonymous_variant:3
GCF_000005845.2,MG1655 baseline,baseline,True,b0054,lptD,gene,protein_coding,NC_000913.3,-,2355,2355,1.0,True,2,0,0,2,0,0,0.8492569002123143,synonymous_variant:2
GCF_000005845.2,MG1655 baseline,baseline,True,b0055,djlA,gene,protein_coding,NC_000913.3,+,816,816,1.0,True,1,0,1,0,0,0,1.2254901960784315,missense_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0056,yabP,gene,protein_coding,NC_000913.3,+,651,0,0.0,False,0,0,0,0,0,0,,
GCF_000005845.2,MG1655 baseline,baseline,True,b0057,yabQ,gene,protein_coding,NC_000913.3,+,159,0,0.0,False,0,0,0,0,0,0,,
GCF_000005845.2,MG1655 baseline,baseline,True,b0058,rluA,gene,protein_coding,NC_000913.3,-,660,660,1.0,True,1,0,0,1,0,0,1.5151515151515151,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0059,rapA,gene,protein_coding,NC_000913.3,-,2907,2907,1.0,True,1,0,0,1,0,0,0.3439972480220158,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0060,polB,gene,protein_coding,NC_000913.3,-,2352,2352,1.0,True,33,0,4,29,0,0,14.03061224489796,missense_variant:4;synonymous_variant:29
GCF_000005845.2,MG1655 baseline,baseline,True,b0061,araD,gene,protein_coding,NC_000913.3,-,696,696,1.0,True,17,0,3,14,0,0,24.42528735632184,missense_variant:3;synonymous_variant:14
GCF_000005845.2,MG1655 baseline,baseline,True,b0062,araA,gene,protein_coding,NC_000913.3,-,1503,1503,1.0,True,21,0,2,19,0,0,13.972055888223553,missense_variant:2;synonymous_variant:19
GCF_000005845.2,MG1655 baseline,baseline,True,b0063,araB,gene,protein_coding,NC_000913.3,-,1701,1701,1.0,True,22,0,5,17,0,0,12.933568489124045,missense_variant:5;synonymous_variant:17
GCF_000005845.2,MG1655 baseline,baseline,True,b0064,araC,gene,protein_coding,NC_000913.3,+,879,879,1.0,True,9,0,0,9,0,0,10.238907849829351,synonymous_variant:9
GCF_000005845.2,MG1655 baseline,baseline,True,b0065,yabI,gene,protein_coding,NC_000913.3,+,765,765,1.0,True,29,0,3,26,0,0,37.908496732026144,missense_variant:3;synonymous_variant:26
GCF_000005845.2,MG1655 baseline,baseline,True,b0066,thiQ,gene,protein_coding,NC_000913.3,-,699,699,1.0,True,26,0,5,21,0,0,37.19599427753934,missense_variant:5;synonymous_variant:21
GCF_000005845.2,MG1655 baseline,baseline,True,b0067,thiP,gene,protein_coding,NC_000913.3,-,1611,1611,1.0,True,42,0,6,36,0,0,26.070763500931097,missense_variant:6;synonymous_variant:36
GCF_000005845.2,MG1655 baseline,baseline,True,b0068,thiB,gene,protein_coding,NC_000913.3,-,984,984,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b4762,sroA,gene,ncRNA,NC_000913.3,-,0,0,,False,0,0,0,0,0,0,,
GCF_000005845.2,MG1655 baseline,baseline,True,b0069,sgrR,gene,protein_coding,NC_000913.3,-,1656,1623,0.980072463768116,True,41,0,9,32,0,0,25.261860751694392,missense_variant:9;synonymous_variant:32
GCF_000005845.2,MG1655 baseline,baseline,True,b4577,sgrS,gene,ncRNA,NC_000913.3,+,0,0,,False,0,0,0,0,0,0,,
GCF_000005845.2,MG1655 baseline,baseline,True,b4662,sgrT,gene,protein_coding,NC_000913.3,+,132,132,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0070,setA,gene,protein_coding,NC_000913.3,+,1179,1179,1.0,True,6,0,4,2,0,0,5.089058524173028,missense_variant:4;synonymous_variant:2
GCF_000005845.2,MG1655 baseline,baseline,True,b0071,leuD,gene,protein_coding,NC_000913.3,-,606,606,1.0,True,1,0,0,1,0,0,1.6501650165016502,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0072,leuC,gene,protein_coding,NC_000913.3,-,1401,1401,1.0,True,1,0,0,1,0,0,0.7137758743754461,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0073,leuB,gene,protein_coding,NC_000913.3,-,1092,1092,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0074,leuA,gene,protein_coding,NC_000913.3,-,1572,1572,1.0,True,13,0,0,13,0,0,8.26972010178117,synonymous_variant:13
GCF_000005845.2,MG1655 baseline,baseline,True,b0075,leuL,gene,protein_coding,NC_000913.3,-,87,87,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0076,leuO,gene,protein_coding,NC_000913.3,+,945,945,1.0,True,1,0,0,1,0,0,1.0582010582010581,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b4726,yabR,gene,protein_coding,NC_000913.3,-,45,45,1.0,True,1,0,1,0,0,0,22.22222222222222,missense_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0077,ilvI,gene,protein_coding,NC_000913.3,+,1725,1725,1.0,True,5,0,2,3,0,0,2.898550724637681,missense_variant:2;synonymous_variant:3
GCF_000005845.2,MG1655 baseline,baseline,True,b0078,ilvH,gene,protein_coding,NC_000913.3,+,492,492,1.0,True,1,0,0,1,0,0,2.032520325203252,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0080,cra,gene,protein_coding,NC_000913.3,+,1005,1005,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0081,mraZ,gene,protein_coding,NC_000913.3,+,459,459,1.0,True,2,0,1,1,0,0,4.357298474945534,missense_variant:1;synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0082,rsmH,gene,protein_coding,NC_000913.3,+,942,942,1.0,True,2,0,0,2,0,0,2.1231422505307855,synonymous_variant:2
GCF_000005845.2,MG1655 baseline,baseline,True,b0083,ftsL,gene,protein_coding,NC_000913.3,+,366,366,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0084,ftsI,gene,protein_coding,NC_000913.3,+,1767,1767,1.0,True,11,0,0,11,0,0,6.22524052065648,synonymous_variant:11
GCF_000005845.2,MG1655 baseline,baseline,True,b4810,ftsO,gene,ncRNA,NC_000913.3,+,0,0,,False,0,0,0,0,0,0,,
GCF_000005845.2,MG1655 baseline,baseline,True,b0085,murE,gene,protein_coding,NC_000913.3,+,1488,1488,1.0,True,15,0,3,12,0,0,10.080645161290322,missense_variant:3;synonymous_variant:12
GCF_000005845.2,MG1655 baseline,baseline,True,b0086,murF,gene,protein_coding,NC_000913.3,+,1359,1359,1.0,True,1,0,1,0,0,0,0.7358351729212657,missense_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0087,mraY,gene,protein_coding,NC_000913.3,+,1083,1083,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0088,murD,gene,protein_coding,NC_000913.3,+,1317,1317,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0089,ftsW,gene,protein_coding,NC_000913.3,+,1245,1245,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0090,murG,gene,protein_coding,NC_000913.3,+,1068,1068,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0091,murC,gene,protein_coding,NC_000913.3,+,1476,1476,1.0,True,20,0,1,19,0,0,13.550135501355014,missense_variant:1;synonymous_variant:19
GCF_000005845.2,MG1655 baseline,baseline,True,b0092,ddlB,gene,protein_coding,NC_000913.3,+,921,921,1.0,True,10,0,1,9,0,0,10.857763300760043,missense_variant:1;synonymous_variant:9
GCF_000005845.2,MG1655 baseline,baseline,True,b0093,ftsQ,gene,protein_coding,NC_000913.3,+,831,831,1.0,True,6,0,1,5,0,0,7.2202166064981945,missense_variant:1;synonymous_variant:5
GCF_000005845.2,MG1655 baseline,baseline,True,b0094,ftsA,gene,protein_coding,NC_000913.3,+,1263,1263,1.0,True,3,0,0,3,0,0,2.375296912114014,synonymous_variant:3
GCF_000005845.2,MG1655 baseline,baseline,True,b4840,stfZ,gene,ncRNA,NC_000913.3,-,0,0,,False,0,0,0,0,0,0,,
GCF_000005845.2,MG1655 baseline,baseline,True,b0095,ftsZ,gene,protein_coding,NC_000913.3,+,1152,1152,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0096,lpxC,gene,protein_coding,NC_000913.3,+,918,918,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0097,secM,gene,protein_coding,NC_000913.3,+,513,513,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0098,secA,gene,protein_coding,NC_000913.3,+,2706,2706,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0099,mutT,gene,protein_coding,NC_000913.3,+,390,390,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0101,yacG,gene,protein_coding,NC_000913.3,-,198,198,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0102,zapD,gene,protein_coding,NC_000913.3,-,744,744,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0103,coaE,gene,protein_coding,NC_000913.3,-,621,621,1.0,True,1,0,0,1,0,0,1.6103059581320451,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b4727,yacM,gene,protein_coding,NC_000913.3,+,45,45,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0104,guaC,gene,protein_coding,NC_000913.3,+,1044,1044,1.0,True,1,0,1,0,0,0,0.9578544061302682,missense_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0106,hofC,gene,protein_coding,NC_000913.3,-,1203,1203,1.0,True,1,0,0,1,0,0,0.8312551953449709,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0107,hofB,gene,protein_coding,NC_000913.3,-,1386,1386,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0108,ppdD,gene,protein_coding,NC_000913.3,-,441,441,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0109,nadC,gene,protein_coding,NC_000913.3,-,894,894,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0110,ampD,gene,protein_coding,NC_000913.3,+,552,552,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0111,ampE,gene,protein_coding,NC_000913.3,+,855,855,1.0,True,1,0,0,1,0,0,1.1695906432748537,synonymous_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0112,aroP,gene,protein_coding,NC_000913.3,-,1374,1374,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0113,pdhR,gene,protein_coding,NC_000913.3,+,765,765,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0114,aceE,gene,protein_coding,NC_000913.3,+,2664,2664,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0115,aceF,gene,protein_coding,NC_000913.3,+,1893,1893,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0116,lpd,gene,protein_coding,NC_000913.3,+,1425,1425,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0117,yacH,gene,protein_coding,NC_000913.3,-,1854,1854,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0118,acnB,gene,protein_coding,NC_000913.3,+,2598,2598,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0119,yacL,gene,protein_coding,NC_000913.3,+,363,363,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0120,speD,gene,protein_coding,NC_000913.3,-,795,795,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0121,speE,gene,protein_coding,NC_000913.3,-,867,867,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0122,yacC,gene,protein_coding,NC_000913.3,-,348,348,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0123,cueO,gene,protein_coding,NC_000913.3,+,1551,1551,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0124,gcd,gene,protein_coding,NC_000913.3,-,2391,2391,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0125,hpt,gene,protein_coding,NC_000913.3,+,537,537,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0126,can,gene,protein_coding,NC_000913.3,-,663,663,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0127,yadG,gene,protein_coding,NC_000913.3,+,927,927,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0128,yadH,gene,protein_coding,NC_000913.3,+,771,771,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0129,yadI,gene,protein_coding,NC_000913.3,+,441,441,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0130,yadE,gene,protein_coding,NC_000913.3,+,1230,1230,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0131,panD,gene,protein_coding,NC_000913.3,-,381,381,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0132,rpnC,gene,protein_coding,NC_000913.3,+,903,903,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0133,panC,gene,protein_coding,NC_000913.3,-,852,852,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0134,panB,gene,protein_coding,NC_000913.3,-,795,795,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0135,yadC,gene,protein_coding,NC_000913.3,-,1239,1239,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0136,yadK,gene,protein_coding,NC_000913.3,-,597,597,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0137,yadL,gene,protein_coding,NC_000913.3,-,606,606,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0138,yadM,gene,protein_coding,NC_000913.3,-,570,570,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0139,htrE,gene,protein_coding,NC_000913.3,-,2598,2598,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0140,yadV,gene,protein_coding,NC_000913.3,-,741,741,1.0,True,1,0,1,0,0,0,1.349527665317139,missense_variant:1
GCF_000005845.2,MG1655 baseline,baseline,True,b0141,yadN,gene,protein_coding,NC_000913.3,-,585,585,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0142,folK,gene,protein_coding,NC_000913.3,-,480,480,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0143,pcnB,gene,protein_coding,NC_000913.3,-,1398,1398,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0144,gluQ,gene,protein_coding,NC_000913.3,-,927,927,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0145,dksA,gene,protein_coding,NC_000913.3,-,456,456,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0146,sfsA,gene,protein_coding,NC_000913.3,-,705,705,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0147,thpR,gene,protein_coding,NC_000913.3,-,531,531,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0148,hrpB,gene,protein_coding,NC_000913.3,+,2430,2430,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0149,mrcB,gene,protein_coding,NC_000913.3,+,2535,2535,1.0,True,0,0,0,0,0,0,0.0,
GCF_000005845.2,MG1655 baseline,baseline,True,b0150,fhuA,gene,protein_coding,NC_000913.3,+,2244,2244,1.0,True,8,0,0,8,0,0,3.5650623885918002,synonymous_variant:8
