baseline_accession,baseline_gene_id,baseline_gene_name,alternative_accession,alternative_label,project13_alternative_eligible,relationship,orthogroups,alternative_gene_ids,alternative_gene_names,renamed_one_to_one,comparison_status,comparable,baseline_callable_fraction,alternative_callable_fraction,baseline_callable_cds_bases,alternative_callable_cds_bases,baseline_distinct_variant_count,alternative_distinct_variant_count,baseline_high_impact_variants,alternative_high_impact_variants,baseline_variant_density_per_1000_callable_cds,alternative_variant_density_per_1000_callable_cds,alternative_minus_baseline_density,alternative_to_baseline_density_ratio,density_direction
GCF_000005845.2,b0011,yaaW,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0003867,EAS44_RS20585,msyB,True,comparable,True,1.0,1.0,714,714,16,14,0,0,22.408963585434172,19.607843137254903,-2.801120448179269,0.8750000000000001,lower_in_alternative
GCF_000005845.2,b0012,mbiA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_ortholog,OG0006028,,,False,no_ortholog,False,1.0,,486,,8,,0,,16.46090534979424,,,,not_comparable
GCF_000005845.2,b0013,yaaI,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0003555,EAS44_RS20580,yaaI,False,comparable,True,1.0,1.0,405,405,4,15,0,0,9.876543209876543,37.03703703703704,27.160493827160494,3.7500000000000004,higher_in_alternative
GCF_000005845.2,b0014,dnaK,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000549,EAS44_RS20575,dnaK,False,comparable,True,1.0,1.0,1917,1917,14,15,0,0,7.303077725612937,7.82472613458529,0.5216484089723528,1.0714285714285714,higher_in_alternative
GCF_000005845.2,b0015,dnaJ,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000208,EAS44_RS20570,dnaJ,False,comparable,True,1.0,1.0,1131,1131,13,21,0,0,11.494252873563218,18.56763925729443,7.073386383731213,1.6153846153846156,higher_in_alternative
GCF_000005845.2,b0016,insL1,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_ortholog,OG0003556,,,False,no_ortholog,False,0.3719676549865229,,414,,0,,0,,0.0,,,,not_comparable
GCF_000005845.2,b0018,mokC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_ortholog,OG0005621,,,False,no_ortholog,False,1.0,,210,,0,,0,,0.0,,,,not_comparable
GCF_000005845.2,b4412,hokC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,many_to_one,OG0000004,EAS44_RS20565,mokC,False,many_to_one,False,1.0,,153,,0,,0,,0.0,,,,not_comparable
GCF_000005845.2,b4413,sokC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_protein,,,,False,no_protein,False,,,0,,2,,0,,,,,,not_comparable
GCF_000005845.2,b0019,nhaA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000550,EAS44_RS20545,nhaA,False,comparable,True,1.0,0.9974293059125964,1167,1164,12,58,0,0,10.282776349614396,49.828178694158076,39.54540234454368,4.845790378006873,higher_in_alternative
GCF_000005845.2,b0020,nhaR,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000551,EAS44_RS20540,nhaR,False,alternative_low_callability,False,1.0,0.3543046357615894,906,321,3,17,0,0,3.3112582781456954,52.9595015576324,,,not_comparable
GCF_000005845.2,b0021,insB1,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_ortholog,OG0000001,,,False,no_ortholog,False,0.0,,0,,0,,0,,,,,,not_comparable
GCF_000005845.2,b0022,insA1,GCF_003697165.2,DSM 30083 / ATCC 11775,False,many_to_one,OG0000001,EAS44_RS00665,EAS44_RS00665,False,many_to_one,False,0.07246376811594203,,20,,0,,0,,0.0,,,,not_comparable
GCF_000005845.2,b0023,rpsT,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000552,EAS44_RS20535,rpsT,False,comparable,True,1.0,1.0,264,264,0,1,0,0,0.0,3.787878787878788,3.787878787878788,,higher_in_alternative
GCF_000005845.2,b0024,yaaY,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0003169,EAS44_RS20530,yaaY,False,comparable,True,1.0,1.0,219,219,0,3,0,0,0.0,13.698630136986301,13.698630136986301,,higher_in_alternative
GCF_000005845.2,b0025,ribF,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000553,EAS44_RS20525,ribF,False,comparable,True,1.0,1.0,942,942,9,22,0,0,9.554140127388536,23.35456475583864,13.800424628450106,2.444444444444444,higher_in_alternative
GCF_000005845.2,b0026,ileS,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000554,EAS44_RS20520,ileS,False,comparable,True,1.0,0.9808306709265175,2817,2763,37,87,0,0,13.134540291089811,31.487513572204126,18.352973281114316,2.3973061008891627,higher_in_alternative
GCF_000005845.2,b0027,lspA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000555,EAS44_RS20515,lspA,False,comparable,True,1.0,1.0,495,495,3,5,0,0,6.0606060606060606,10.1010101010101,4.04040404040404,1.6666666666666665,higher_in_alternative
GCF_000005845.2,b0028,fkpB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000556,EAS44_RS20510,fkpB,False,comparable,True,1.0,1.0,450,450,0,5,0,0,0.0,11.11111111111111,11.11111111111111,,higher_in_alternative
GCF_000005845.2,b0029,ispH,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000557,EAS44_RS20505,ispH,False,comparable,True,1.0,1.0,951,951,11,36,0,0,11.566771819137749,37.85488958990536,26.288117770767613,3.272727272727273,higher_in_alternative
GCF_000005845.2,b0030,rihC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0003170,EAS44_RS20500,rihC,False,alternative_low_callability,False,0.9792349726775956,0.8426229508196721,896,771,50,47,0,0,55.80357142857143,60.9597924773022,,,not_comparable
GCF_000005845.2,b0031,dapB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000558,EAS44_RS20490,dapB,False,comparable,True,1.0,1.0,822,822,18,19,0,0,21.8978102189781,23.114355231143552,1.2165450121654509,1.0555555555555556,higher_in_alternative
GCF_000005845.2,b0032,carA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000559,EAS44_RS20480,carA,False,comparable,True,1.0,1.0,1149,1149,18,33,0,0,15.66579634464752,28.720626631853786,13.054830287206267,1.8333333333333333,higher_in_alternative
GCF_000005845.2,b0033,carB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000560,EAS44_RS20475,carB,False,comparable,True,1.0,1.0,3222,3222,60,122,0,0,18.6219739292365,37.864680322780885,19.242706393544385,2.033333333333333,higher_in_alternative
GCF_000005845.2,b0034,caiF,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000209,EAS44_RS20450,caiF,False,comparable,True,1.0,1.0,396,396,2,9,0,0,5.05050505050505,22.727272727272727,17.676767676767675,4.5,higher_in_alternative
GCF_000005845.2,b0035,caiE,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000561,EAS44_RS20445,caiE,False,comparable,True,1.0,1.0,591,591,10,17,0,0,16.920473773265652,28.764805414551606,11.844331641285955,1.7,higher_in_alternative
GCF_000005845.2,b0036,caiD,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000562,EAS44_RS20440,caiD,False,comparable,True,1.0,1.0,786,786,11,14,0,0,13.994910941475826,17.8117048346056,3.8167938931297734,1.272727272727273,higher_in_alternative
GCF_000005845.2,b0037,caiC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000563,EAS44_RS20435,caiC,False,comparable,True,1.0,1.0,1554,1554,30,41,0,0,19.305019305019304,26.383526383526384,7.07850707850708,1.3666666666666667,higher_in_alternative
GCF_000005845.2,b0038,caiB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000564,EAS44_RS20430,caiB,False,comparable,True,1.0,1.0,1218,1218,8,30,1,1,6.568144499178982,24.63054187192118,18.0623973727422,3.75,higher_in_alternative
GCF_000005845.2,b0039,caiA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000565,EAS44_RS20425,caiA,False,comparable,True,1.0,1.0,1143,1143,5,22,0,0,4.374453193350831,19.247594050743658,14.873140857392826,4.4,higher_in_alternative
GCF_000005845.2,b0040,caiT,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000566,EAS44_RS20420,caiT,False,comparable,True,1.0,1.0,1515,1515,12,18,0,0,7.920792079207921,11.881188118811881,3.9603960396039604,1.5,higher_in_alternative
GCF_000005845.2,b0041,fixA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000567,EAS44_RS20415,fixA,False,comparable,True,1.0,1.0,771,771,6,14,0,0,7.782101167315175,18.15823605706874,10.376134889753565,2.3333333333333335,higher_in_alternative
GCF_000005845.2,b0042,fixB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000568,EAS44_RS20410,fixB,False,comparable,True,1.0,1.0,942,942,1,21,0,0,1.0615711252653928,22.29299363057325,21.231422505307858,21.0,higher_in_alternative
GCF_000005845.2,b0043,fixC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,many_to_one,OG0000052,EAS44_RS20405,fixC,False,many_to_one,False,1.0,,1287,,0,,0,,0.0,,,,not_comparable
GCF_000005845.2,b0044,fixX,GCF_003697165.2,DSM 30083 / ATCC 11775,False,many_to_one,OG0000053,EAS44_RS20400,fixX,False,many_to_one,False,1.0,,288,,0,,0,,0.0,,,,not_comparable
GCF_000005845.2,b0045,yaaU,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000569,EAS44_RS20395,yaaU,False,comparable,True,1.0,1.0,1332,1332,15,26,0,0,11.26126126126126,19.51951951951952,8.258258258258259,1.7333333333333334,higher_in_alternative
GCF_000005845.2,b0046,kefF,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000570,EAS44_RS20390,kefF,False,comparable,True,1.0,1.0,531,531,1,15,0,0,1.8832391713747645,28.24858757062147,26.365348399246706,15.000000000000002,higher_in_alternative
GCF_000005845.2,b0047,kefC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000571,EAS44_RS20385,kefC,False,comparable,True,1.0,1.0,1863,1863,1,61,0,0,0.5367686527106817,32.74288781535159,32.2061191626409,61.0,higher_in_alternative
GCF_000005845.2,b0048,folA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000572,EAS44_RS20380,folA,False,comparable,True,1.0,1.0,480,480,0,11,0,0,0.0,22.916666666666668,22.916666666666668,,higher_in_alternative
GCF_000005845.2,b0049,apaH,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000573,EAS44_RS20365,apaH,False,comparable,True,1.0,0.9858657243816255,843,837,10,20,0,0,11.862396204033216,23.894862604540023,12.032466400506808,2.0143369175627237,higher_in_alternative
GCF_000005845.2,b0050,apaG,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000574,EAS44_RS20360,apaG,False,comparable,True,1.0,1.0,378,378,1,1,0,0,2.6455026455026456,2.6455026455026456,0.0,1.0,equal
GCF_000005845.2,b0051,rsmA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000575,EAS44_RS20355,rsmA,False,comparable,True,1.0,1.0,822,822,7,13,0,0,8.51581508515815,15.815085158150852,7.299270072992702,1.8571428571428572,higher_in_alternative
GCF_000005845.2,b0052,pdxA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_many,OG0000210,EAS44_RS17455;EAS44_RS20350,EAS44_RS17455;pdxA,False,one_to_many,False,1.0,,990,,0,,0,,0.0,,,,not_comparable
GCF_000005845.2,b0053,surA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000576,EAS44_RS20345,surA,False,comparable,True,1.0,1.0,1287,1287,3,12,0,0,2.331002331002331,9.324009324009324,6.993006993006993,4.0,higher_in_alternative
GCF_000005845.2,b0054,lptD,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000577,EAS44_RS20340,lptD,False,comparable,True,1.0,0.9902335456475584,2355,2332,2,56,0,0,0.8492569002123143,24.013722126929675,23.16446522671736,28.276157804459693,higher_in_alternative
GCF_000005845.2,b0055,djlA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000578,EAS44_RS20335,djlA,False,comparable,True,1.0,1.0,816,816,1,18,0,0,1.2254901960784315,22.058823529411764,20.833333333333332,18.0,higher_in_alternative
GCF_000005845.2,b0056,yabP,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_ortholog,OG0004502,,,False,no_ortholog,False,0.0,,0,,0,,0,,,,,,not_comparable
GCF_000005845.2,b0057,yabQ,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_ortholog,OG0005848,,,False,no_ortholog,False,0.0,,0,,0,,0,,,,,,not_comparable
GCF_000005845.2,b0058,rluA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000579,EAS44_RS20330,rluA,False,comparable,True,1.0,1.0,660,660,1,15,0,0,1.5151515151515151,22.727272727272727,21.21212121212121,15.0,higher_in_alternative
GCF_000005845.2,b0059,rapA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000211,EAS44_RS20325,rapA,False,comparable,True,1.0,1.0,2907,2907,1,46,0,0,0.3439972480220158,15.823873409012728,15.479876160990713,46.0,higher_in_alternative
GCF_000005845.2,b0060,polB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000580,EAS44_RS20320,polB,False,comparable,True,1.0,1.0,2352,2352,33,94,0,0,14.03061224489796,39.965986394557824,25.935374149659864,2.8484848484848486,higher_in_alternative
GCF_000005845.2,b0061,araD,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000395,EAS44_RS20315,araD,False,comparable,True,1.0,1.0,696,696,17,24,0,0,24.42528735632184,34.48275862068966,10.05747126436782,1.411764705882353,higher_in_alternative
GCF_000005845.2,b0062,araA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000581,EAS44_RS20310,araA,False,comparable,True,1.0,1.0,1503,1503,21,56,0,0,13.972055888223553,37.25881570192947,23.28675981370592,2.6666666666666665,higher_in_alternative
GCF_000005845.2,b0063,araB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000582,EAS44_RS20305,araB,False,comparable,True,1.0,1.0,1701,1701,22,34,0,0,12.933568489124045,19.98824221046443,7.054673721340386,1.5454545454545452,higher_in_alternative
GCF_000005845.2,b0064,araC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000583,EAS44_RS20300,araC,False,comparable,True,1.0,0.9810874704491725,879,830,9,22,0,0,10.238907849829351,26.50602409638554,16.267116246556192,2.5887550200803213,higher_in_alternative
GCF_000005845.2,b0065,yabI,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000584,EAS44_RS20285,yabI,False,comparable,True,1.0,1.0,765,765,29,37,0,0,37.908496732026144,48.36601307189542,10.45751633986928,1.2758620689655171,higher_in_alternative
GCF_000005845.2,b0066,thiQ,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000585,EAS44_RS20280,thiQ,False,comparable,True,1.0,1.0,699,699,26,41,0,0,37.19599427753934,58.6552217453505,21.45922746781116,1.5769230769230769,higher_in_alternative
GCF_000005845.2,b0067,thiP,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000586,EAS44_RS20275,thiP,False,comparable,True,1.0,1.0,1611,1611,42,63,0,0,26.070763500931097,39.10614525139665,13.03538175046555,1.5,higher_in_alternative
GCF_000005845.2,b0068,thiB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000587,EAS44_RS20270,thiB,False,comparable,True,1.0,1.0,984,984,0,51,0,0,0.0,51.829268292682926,51.829268292682926,,higher_in_alternative
GCF_000005845.2,b4762,sroA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_protein,,,,False,no_protein,False,,,0,,0,,0,,,,,,not_comparable
GCF_000005845.2,b0069,sgrR,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000588,EAS44_RS20265,sgrR,False,comparable,True,0.980072463768116,1.0,1623,1656,41,37,0,0,25.261860751694392,22.342995169082126,-2.9188655826122663,0.8844556380346412,lower_in_alternative
GCF_000005845.2,b4577,sgrS,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_protein,,,,False,no_protein,False,,,0,,0,,0,,,,,,not_comparable
GCF_000005845.2,b4662,sgrT,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0003434,EAS44_RS20260,sgrT,False,alternative_low_callability,False,1.0,0.8712121212121212,132,115,0,0,0,0,0.0,0.0,,,not_comparable
GCF_000005845.2,b0070,setA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_ortholog,OG0004331,,,False,no_ortholog,False,1.0,,1179,,6,,0,,5.089058524173028,,,,not_comparable
GCF_000005845.2,b0071,leuD,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000589,EAS44_RS20255,leuD,False,comparable,True,1.0,0.9075907590759076,606,550,1,15,0,0,1.6501650165016502,27.272727272727273,25.622562256225624,16.527272727272727,higher_in_alternative
GCF_000005845.2,b0072,leuC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000590,EAS44_RS20250,leuC,False,comparable,True,1.0,1.0,1401,1401,1,51,0,0,0.7137758743754461,36.40256959314775,35.68879371877231,51.0,higher_in_alternative
GCF_000005845.2,b0073,leuB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000591,EAS44_RS20245,leuB,False,comparable,True,1.0,1.0,1092,1092,0,43,0,0,0.0,39.37728937728938,39.37728937728938,,higher_in_alternative
GCF_000005845.2,b0074,leuA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000592,EAS44_RS20240,leuA,False,comparable,True,1.0,1.0,1572,1572,13,43,0,0,8.26972010178117,27.353689567430024,19.083969465648856,3.307692307692308,higher_in_alternative
GCF_000005845.2,b0075,leuL,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000593,EAS44_RS20235,leuL,False,comparable,True,1.0,1.0,87,87,0,1,0,0,0.0,11.494252873563218,11.494252873563218,,higher_in_alternative
GCF_000005845.2,b0076,leuO,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000594,EAS44_RS20230,leuO,False,comparable,True,1.0,1.0,945,945,1,18,0,0,1.0582010582010581,19.047619047619047,17.98941798941799,18.0,higher_in_alternative
GCF_000005845.2,b4726,yabR,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_ortholog,OG0004503,,,False,no_ortholog,False,1.0,,45,,1,,0,,22.22222222222222,,,,not_comparable
GCF_000005845.2,b0077,ilvI,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0003007,EAS44_RS20225,ilvI,False,comparable,True,1.0,1.0,1725,1725,5,59,0,0,2.898550724637681,34.20289855072464,31.30434782608696,11.8,higher_in_alternative
GCF_000005845.2,b0078,ilvH,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000595,EAS44_RS20220,ilvN,True,comparable,True,1.0,1.0,492,492,1,8,0,0,2.032520325203252,16.260162601626018,14.227642276422765,8.0,higher_in_alternative
GCF_000005845.2,b0080,cra,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000596,EAS44_RS20210,cra,False,comparable,True,1.0,1.0,1005,1005,0,17,0,0,0.0,16.915422885572138,16.915422885572138,,higher_in_alternative
GCF_000005845.2,b0081,mraZ,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000597,EAS44_RS20205,mraZ,False,comparable,True,1.0,1.0,459,459,2,1,0,0,4.357298474945534,2.178649237472767,-2.178649237472767,0.5,lower_in_alternative
GCF_000005845.2,b0082,rsmH,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000598,EAS44_RS20200,rsmH,False,comparable,True,1.0,1.0,942,942,2,10,0,0,2.1231422505307855,10.615711252653927,8.492569002123142,5.0,higher_in_alternative
GCF_000005845.2,b0083,ftsL,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000599,EAS44_RS20195,ftsL,False,comparable,True,1.0,1.0,366,366,0,5,0,0,0.0,13.66120218579235,13.66120218579235,,higher_in_alternative
GCF_000005845.2,b0084,ftsI,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000212,EAS44_RS20190,ftsI,False,comparable,True,1.0,1.0,1767,1767,11,22,0,0,6.22524052065648,12.45048104131296,6.22524052065648,2.0,higher_in_alternative
GCF_000005845.2,b4810,ftsO,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_protein,,,,False,no_protein,False,,,0,,0,,0,,,,,,not_comparable
GCF_000005845.2,b0085,murE,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000600,EAS44_RS20185,murE,False,comparable,True,1.0,1.0,1488,1488,15,39,0,0,10.080645161290322,26.20967741935484,16.12903225806452,2.6,higher_in_alternative
GCF_000005845.2,b0086,murF,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000601,EAS44_RS20180,murF,False,comparable,True,1.0,1.0,1359,1359,1,41,0,0,0.7358351729212657,30.169242089771892,29.433406916850625,41.0,higher_in_alternative
GCF_000005845.2,b0087,mraY,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000602,EAS44_RS20175,mraY,False,comparable,True,1.0,1.0,1083,1083,0,30,0,0,0.0,27.700831024930746,27.700831024930746,,higher_in_alternative
GCF_000005845.2,b0088,murD,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000603,EAS44_RS20170,murD,False,comparable,True,1.0,1.0,1317,1317,0,25,0,0,0.0,18.982536066818525,18.982536066818525,,higher_in_alternative
GCF_000005845.2,b0089,ftsW,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000604,EAS44_RS20165,ftsW,False,comparable,True,1.0,1.0,1245,1245,0,18,0,0,0.0,14.457831325301205,14.457831325301205,,higher_in_alternative
GCF_000005845.2,b0090,murG,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000605,EAS44_RS20160,murG,False,comparable,True,1.0,1.0,1068,1068,0,17,0,0,0.0,15.917602996254681,15.917602996254681,,higher_in_alternative
GCF_000005845.2,b0091,murC,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000606,EAS44_RS20155,murC,False,comparable,True,1.0,1.0,1476,1476,20,23,0,0,13.550135501355014,15.582655826558266,2.0325203252032527,1.1500000000000001,higher_in_alternative
GCF_000005845.2,b0092,ddlB,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000607,EAS44_RS20150,ddlB,False,comparable,True,1.0,1.0,921,921,10,13,0,0,10.857763300760043,14.115092290988056,3.2573289902280127,1.3,higher_in_alternative
GCF_000005845.2,b0093,ftsQ,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000608,EAS44_RS20145,ftsQ,False,comparable,True,1.0,1.0,831,831,6,5,0,0,7.2202166064981945,6.016847172081829,-1.2033694344163655,0.8333333333333334,lower_in_alternative
GCF_000005845.2,b0094,ftsA,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000609,EAS44_RS20140,ftsA,False,comparable,True,1.0,1.0,1263,1263,3,20,0,0,2.375296912114014,15.835312747426762,13.460015835312749,6.666666666666667,higher_in_alternative
GCF_000005845.2,b4840,stfZ,GCF_003697165.2,DSM 30083 / ATCC 11775,False,no_protein,,,,False,no_protein,False,,,0,,0,,0,,,,,,not_comparable
GCF_000005845.2,b0095,ftsZ,GCF_003697165.2,DSM 30083 / ATCC 11775,False,one_to_one,OG0000610,EAS44_RS20135,ftsZ,False,comparable,True,1.0,1.0,1152,1152,0,13,0,0,0.0,11.284722222222221,11.284722222222221,,higher_in_alternative
