accession,species_key,source_protein_id,prepared_protein_id,gene_id,gene_name,feature_id,mapping_status
GCF_000005845.2,GCF_000005845.2,NP_414626.1,GCF_000005845.2__NP_414626.1,b0084,ftsI,gene-b0084,mapped
GCF_000005845.2,GCF_000005845.2,NP_414627.1,GCF_000005845.2__NP_414627.1,b0085,murE,gene-b0085,mapped
GCF_000005845.2,GCF_000005845.2,NP_414628.1,GCF_000005845.2__NP_414628.1,b0086,murF,gene-b0086,mapped
GCF_000005845.2,GCF_000005845.2,NP_414629.1,GCF_000005845.2__NP_414629.1,b0087,mraY,gene-b0087,mapped
GCF_000005845.2,GCF_000005845.2,NP_414630.1,GCF_000005845.2__NP_414630.1,b0088,murD,gene-b0088,mapped
GCF_000005845.2,GCF_000005845.2,NP_414631.1,GCF_000005845.2__NP_414631.1,b0089,ftsW,gene-b0089,mapped
GCF_000005845.2,GCF_000005845.2,NP_414632.1,GCF_000005845.2__NP_414632.1,b0090,murG,gene-b0090,mapped
GCF_000005845.2,GCF_000005845.2,NP_414633.1,GCF_000005845.2__NP_414633.1,b0091,murC,gene-b0091,mapped
GCF_000005845.2,GCF_000005845.2,NP_414634.1,GCF_000005845.2__NP_414634.1,b0092,ddlB,gene-b0092,mapped
GCF_000005845.2,GCF_000005845.2,NP_414635.1,GCF_000005845.2__NP_414635.1,b0093,ftsQ,gene-b0093,mapped
GCF_000005845.2,GCF_000005845.2,NP_414636.1,GCF_000005845.2__NP_414636.1,b0094,ftsA,gene-b0094,mapped
GCF_000005845.2,GCF_000005845.2,NP_414637.1,GCF_000005845.2__NP_414637.1,b0095,ftsZ,gene-b0095,mapped
GCF_000005845.2,GCF_000005845.2,NP_414638.1,GCF_000005845.2__NP_414638.1,b0096,lpxC,gene-b0096,mapped
GCF_000005845.2,GCF_000005845.2,NP_414639.2,GCF_000005845.2__NP_414639.2,b0097,secM,gene-b0097,mapped
GCF_000005845.2,GCF_000005845.2,NP_414640.1,GCF_000005845.2__NP_414640.1,b0098,secA,gene-b0098,mapped
GCF_000005845.2,GCF_000005845.2,NP_414641.1,GCF_000005845.2__NP_414641.1,b0099,mutT,gene-b0099,mapped
GCF_000005845.2,GCF_000005845.2,NP_414643.1,GCF_000005845.2__NP_414643.1,b0101,yacG,gene-b0101,mapped
GCF_000005845.2,GCF_000005845.2,NP_414644.1,GCF_000005845.2__NP_414644.1,b0102,zapD,gene-b0102,mapped
GCF_000005845.2,GCF_000005845.2,NP_414645.1,GCF_000005845.2__NP_414645.1,b0103,coaE,gene-b0103,mapped
GCF_000005845.2,GCF_000005845.2,NP_414646.1,GCF_000005845.2__NP_414646.1,b0104,guaC,gene-b0104,mapped
GCF_000005845.2,GCF_000005845.2,NP_414648.1,GCF_000005845.2__NP_414648.1,b0106,hofC,gene-b0106,mapped
GCF_000005845.2,GCF_000005845.2,NP_414649.1,GCF_000005845.2__NP_414649.1,b0107,hofB,gene-b0107,mapped
GCF_000005845.2,GCF_000005845.2,NP_414650.1,GCF_000005845.2__NP_414650.1,b0108,ppdD,gene-b0108,mapped
GCF_000005845.2,GCF_000005845.2,NP_414651.1,GCF_000005845.2__NP_414651.1,b0109,nadC,gene-b0109,mapped
GCF_000005845.2,GCF_000005845.2,NP_414652.1,GCF_000005845.2__NP_414652.1,b0110,ampD,gene-b0110,mapped
GCF_000005845.2,GCF_000005845.2,NP_414653.1,GCF_000005845.2__NP_414653.1,b0111,ampE,gene-b0111,mapped
GCF_000005845.2,GCF_000005845.2,NP_414654.1,GCF_000005845.2__NP_414654.1,b0112,aroP,gene-b0112,mapped
GCF_000005845.2,GCF_000005845.2,NP_414655.1,GCF_000005845.2__NP_414655.1,b0113,pdhR,gene-b0113,mapped
GCF_000005845.2,GCF_000005845.2,NP_414656.1,GCF_000005845.2__NP_414656.1,b0114,aceE,gene-b0114,mapped
GCF_000005845.2,GCF_000005845.2,NP_414657.1,GCF_000005845.2__NP_414657.1,b0115,aceF,gene-b0115,mapped
GCF_000005845.2,GCF_000005845.2,NP_414658.1,GCF_000005845.2__NP_414658.1,b0116,lpd,gene-b0116,mapped
GCF_000005845.2,GCF_000005845.2,NP_414659.1,GCF_000005845.2__NP_414659.1,b0117,yacH,gene-b0117,mapped
GCF_000005845.2,GCF_000005845.2,NP_414660.1,GCF_000005845.2__NP_414660.1,b0118,acnB,gene-b0118,mapped
GCF_000005845.2,GCF_000005845.2,NP_414661.2,GCF_000005845.2__NP_414661.2,b0119,yacL,gene-b0119,mapped
GCF_000005845.2,GCF_000005845.2,NP_414662.1,GCF_000005845.2__NP_414662.1,b0120,speD,gene-b0120,mapped
GCF_000005845.2,GCF_000005845.2,NP_414663.1,GCF_000005845.2__NP_414663.1,b0121,speE,gene-b0121,mapped
GCF_000005845.2,GCF_000005845.2,NP_414664.4,GCF_000005845.2__NP_414664.4,b0122,yacC,gene-b0122,mapped
GCF_000005845.2,GCF_000005845.2,NP_414665.1,GCF_000005845.2__NP_414665.1,b0123,cueO,gene-b0123,mapped
GCF_000005845.2,GCF_000005845.2,NP_414666.1,GCF_000005845.2__NP_414666.1,b0124,gcd,gene-b0124,mapped
GCF_000005845.2,GCF_000005845.2,NP_414667.4,GCF_000005845.2__NP_414667.4,b0125,hpt,gene-b0125,mapped
GCF_000005845.2,GCF_000005845.2,NP_414668.1,GCF_000005845.2__NP_414668.1,b0126,can,gene-b0126,mapped
GCF_000005845.2,GCF_000005845.2,NP_414669.1,GCF_000005845.2__NP_414669.1,b0127,yadG,gene-b0127,mapped
GCF_000005845.2,GCF_000005845.2,NP_414670.1,GCF_000005845.2__NP_414670.1,b0128,yadH,gene-b0128,mapped
GCF_000005845.2,GCF_000005845.2,NP_414671.1,GCF_000005845.2__NP_414671.1,b0129,yadI,gene-b0129,mapped
GCF_000005845.2,GCF_000005845.2,NP_414672.1,GCF_000005845.2__NP_414672.1,b0130,yadE,gene-b0130,mapped
GCF_000005845.2,GCF_000005845.2,NP_414673.1,GCF_000005845.2__NP_414673.1,b0131,panD,gene-b0131,mapped
GCF_000005845.2,GCF_000005845.2,NP_414674.1,GCF_000005845.2__NP_414674.1,b0132,rpnC,gene-b0132,mapped
GCF_000005845.2,GCF_000005845.2,NP_414675.1,GCF_000005845.2__NP_414675.1,b0133,panC,gene-b0133,mapped
GCF_000005845.2,GCF_000005845.2,NP_414676.1,GCF_000005845.2__NP_414676.1,b0134,panB,gene-b0134,mapped
GCF_000005845.2,GCF_000005845.2,NP_414677.1,GCF_000005845.2__NP_414677.1,b0135,yadC,gene-b0135,mapped
GCF_000005845.2,GCF_000005845.2,NP_414678.1,GCF_000005845.2__NP_414678.1,b0136,yadK,gene-b0136,mapped
GCF_000005845.2,GCF_000005845.2,NP_414679.1,GCF_000005845.2__NP_414679.1,b0137,yadL,gene-b0137,mapped
GCF_000005845.2,GCF_000005845.2,NP_414680.4,GCF_000005845.2__NP_414680.4,b0138,yadM,gene-b0138,mapped
GCF_000005845.2,GCF_000005845.2,NP_414681.1,GCF_000005845.2__NP_414681.1,b0139,htrE,gene-b0139,mapped
GCF_000005845.2,GCF_000005845.2,NP_414682.1,GCF_000005845.2__NP_414682.1,b0140,yadV,gene-b0140,mapped
GCF_000005845.2,GCF_000005845.2,NP_414683.1,GCF_000005845.2__NP_414683.1,b0141,yadN,gene-b0141,mapped
GCF_000005845.2,GCF_000005845.2,NP_414684.1,GCF_000005845.2__NP_414684.1,b0142,folK,gene-b0142,mapped
GCF_000005845.2,GCF_000005845.2,NP_414685.4,GCF_000005845.2__NP_414685.4,b0143,pcnB,gene-b0143,mapped
GCF_000005845.2,GCF_000005845.2,NP_414686.3,GCF_000005845.2__NP_414686.3,b0144,gluQ,gene-b0144,mapped
GCF_000005845.2,GCF_000005845.2,NP_414687.1,GCF_000005845.2__NP_414687.1,b0145,dksA,gene-b0145,mapped
GCF_000005845.2,GCF_000005845.2,NP_414688.1,GCF_000005845.2__NP_414688.1,b0146,sfsA,gene-b0146,mapped
GCF_000005845.2,GCF_000005845.2,NP_414689.4,GCF_000005845.2__NP_414689.4,b0147,thpR,gene-b0147,mapped
GCF_000005845.2,GCF_000005845.2,NP_414690.4,GCF_000005845.2__NP_414690.4,b0148,hrpB,gene-b0148,mapped
GCF_000005845.2,GCF_000005845.2,NP_414691.1,GCF_000005845.2__NP_414691.1,b0149,mrcB,gene-b0149,mapped
GCF_000005845.2,GCF_000005845.2,NP_414692.1,GCF_000005845.2__NP_414692.1,b0150,fhuA,gene-b0150,mapped
GCF_000005845.2,GCF_000005845.2,NP_414693.1,GCF_000005845.2__NP_414693.1,b0151,fhuC,gene-b0151,mapped
GCF_000005845.2,GCF_000005845.2,NP_414694.1,GCF_000005845.2__NP_414694.1,b0152,fhuD,gene-b0152,mapped
GCF_000005845.2,GCF_000005845.2,NP_414695.1,GCF_000005845.2__NP_414695.1,b0153,fhuB,gene-b0153,mapped
GCF_000005845.2,GCF_000005845.2,NP_414696.1,GCF_000005845.2__NP_414696.1,b0154,hemL,gene-b0154,mapped
GCF_000005845.2,GCF_000005845.2,NP_414697.1,GCF_000005845.2__NP_414697.1,b0155,clcA,gene-b0155,mapped
GCF_000005845.2,GCF_000005845.2,NP_414698.1,GCF_000005845.2__NP_414698.1,b0156,erpA,gene-b0156,mapped
GCF_000005845.2,GCF_000005845.2,NP_414699.1,GCF_000005845.2__NP_414699.1,b0157,yadS,gene-b0157,mapped
GCF_000005845.2,GCF_000005845.2,NP_414700.1,GCF_000005845.2__NP_414700.1,b0158,btuF,gene-b0158,mapped
GCF_000005845.2,GCF_000005845.2,NP_414701.1,GCF_000005845.2__NP_414701.1,b0159,mtn,gene-b0159,mapped
GCF_000005845.2,GCF_000005845.2,NP_414702.1,GCF_000005845.2__NP_414702.1,b0160,dgt,gene-b0160,mapped
GCF_000005845.2,GCF_000005845.2,NP_414703.1,GCF_000005845.2__NP_414703.1,b0161,degP,gene-b0161,mapped
GCF_000005845.2,GCF_000005845.2,NP_414704.4,GCF_000005845.2__NP_414704.4,b0162,cdaR,gene-b0162,mapped
GCF_000005845.2,GCF_000005845.2,NP_414705.1,GCF_000005845.2__NP_414705.1,b0163,yaeH,gene-b0163,mapped
GCF_000005845.2,GCF_000005845.2,NP_414706.2,GCF_000005845.2__NP_414706.2,b0164,yaeI,gene-b0164,mapped
GCF_000005845.2,GCF_000005845.2,NP_414708.1,GCF_000005845.2__NP_414708.1,b0166,dapD,gene-b0166,mapped
GCF_000005845.2,GCF_000005845.2,NP_414709.1,GCF_000005845.2__NP_414709.1,b0167,glnD,gene-b0167,mapped
GCF_000005845.2,GCF_000005845.2,NP_414710.1,GCF_000005845.2__NP_414710.1,b0168,map,gene-b0168,mapped
GCF_000005845.2,GCF_000005845.2,NP_414711.1,GCF_000005845.2__NP_414711.1,b0169,rpsB,gene-b0169,mapped
GCF_000005845.2,GCF_000005845.2,NP_414712.1,GCF_000005845.2__NP_414712.1,b0170,tsf,gene-b0170,mapped
GCF_000005845.2,GCF_000005845.2,NP_414713.1,GCF_000005845.2__NP_414713.1,b0171,pyrH,gene-b0171,mapped
GCF_000005845.2,GCF_000005845.2,NP_414714.1,GCF_000005845.2__NP_414714.1,b0172,frr,gene-b0172,mapped
GCF_000005845.2,GCF_000005845.2,NP_414715.1,GCF_000005845.2__NP_414715.1,b0173,dxr,gene-b0173,mapped
GCF_000005845.2,GCF_000005845.2,NP_414716.1,GCF_000005845.2__NP_414716.1,b0174,ispU,gene-b0174,mapped
GCF_000005845.2,GCF_000005845.2,NP_414717.2,GCF_000005845.2__NP_414717.2,b0175,cdsA,gene-b0175,mapped
GCF_000005845.2,GCF_000005845.2,NP_414718.1,GCF_000005845.2__NP_414718.1,b0176,rseP,gene-b0176,mapped
GCF_000005845.2,GCF_000005845.2,NP_414719.1,GCF_000005845.2__NP_414719.1,b0177,bamA,gene-b0177,mapped
GCF_000005845.2,GCF_000005845.2,NP_414720.1,GCF_000005845.2__NP_414720.1,b0178,skp,gene-b0178,mapped
GCF_000005845.2,GCF_000005845.2,NP_414721.1,GCF_000005845.2__NP_414721.1,b0179,lpxD,gene-b0179,mapped
GCF_000005845.2,GCF_000005845.2,NP_414722.1,GCF_000005845.2__NP_414722.1,b0180,fabZ,gene-b0180,mapped
GCF_000005845.2,GCF_000005845.2,NP_414723.1,GCF_000005845.2__NP_414723.1,b0181,lpxA,gene-b0181,mapped
GCF_000005845.2,GCF_000005845.2,NP_414724.1,GCF_000005845.2__NP_414724.1,b0182,lpxB,gene-b0182,mapped
GCF_000005845.2,GCF_000005845.2,NP_414725.1,GCF_000005845.2__NP_414725.1,b0183,rnhB,gene-b0183,mapped
GCF_000005845.2,GCF_000005845.2,NP_414726.1,GCF_000005845.2__NP_414726.1,b0184,dnaE,gene-b0184,mapped
GCF_000005845.2,GCF_000005845.2,NP_414727.1,GCF_000005845.2__NP_414727.1,b0185,accA,gene-b0185,mapped
GCF_000005845.2,GCF_000005845.2,NP_414728.1,GCF_000005845.2__NP_414728.1,b0186,ldcC,gene-b0186,mapped
GCF_000005845.2,GCF_000005845.2,NP_414729.4,GCF_000005845.2__NP_414729.4,b0187,yaeR,gene-b0187,mapped
GCF_000005845.2,GCF_000005845.2,NP_414730.1,GCF_000005845.2__NP_414730.1,b0188,tilS,gene-b0188,mapped
GCF_000005845.2,GCF_000005845.2,NP_414731.2,GCF_000005845.2__NP_414731.2,b0189,rof,gene-b0189,mapped
GCF_000005845.2,GCF_000005845.2,NP_414732.1,GCF_000005845.2__NP_414732.1,b0190,yaeQ,gene-b0190,mapped
GCF_000005845.2,GCF_000005845.2,NP_414733.1,GCF_000005845.2__NP_414733.1,b0191,arfB,gene-b0191,mapped
GCF_000005845.2,GCF_000005845.2,NP_414734.1,GCF_000005845.2__NP_414734.1,b0192,nlpE,gene-b0192,mapped
GCF_000005845.2,GCF_000005845.2,NP_414735.4,GCF_000005845.2__NP_414735.4,b0193,yaeF,gene-b0193,mapped
GCF_000005845.2,GCF_000005845.2,NP_414736.1,GCF_000005845.2__NP_414736.1,b0194,proS,gene-b0194,mapped
GCF_000005845.2,GCF_000005845.2,NP_414737.1,GCF_000005845.2__NP_414737.1,b0195,trmO,gene-b0195,mapped
GCF_000005845.2,GCF_000005845.2,NP_414738.1,GCF_000005845.2__NP_414738.1,b0196,rcsF,gene-b0196,mapped
GCF_000005845.2,GCF_000005845.2,NP_414739.1,GCF_000005845.2__NP_414739.1,b0197,metQ,gene-b0197,mapped
GCF_000005845.2,GCF_000005845.2,NP_414740.1,GCF_000005845.2__NP_414740.1,b0198,metI,gene-b0198,mapped
GCF_000005845.2,GCF_000005845.2,NP_414741.1,GCF_000005845.2__NP_414741.1,b0199,metN,gene-b0199,mapped
GCF_000005845.2,GCF_000005845.2,NP_414742.1,GCF_000005845.2__NP_414742.1,b0200,gmhB,gene-b0200,mapped
GCF_000005845.2,GCF_000005845.2,NP_414743.1,GCF_000005845.2__NP_414743.1,b0207,dkgB,gene-b0207,mapped
GCF_000005845.2,GCF_000005845.2,NP_414744.1,GCF_000005845.2__NP_414744.1,b0208,yafC,gene-b0208,mapped
GCF_000005845.2,GCF_000005845.2,NP_414745.1,GCF_000005845.2__NP_414745.1,b0209,yafD,gene-b0209,mapped
GCF_000005845.2,GCF_000005845.2,NP_414746.1,GCF_000005845.2__NP_414746.1,b0210,yafE,gene-b0210,mapped
GCF_000005845.2,GCF_000005845.2,NP_414747.1,GCF_000005845.2__NP_414747.1,b0211,mltD,gene-b0211,mapped
GCF_000005845.2,GCF_000005845.2,NP_414748.1,GCF_000005845.2__NP_414748.1,b0212,gloB,gene-b0212,mapped
GCF_000005845.2,GCF_000005845.2,NP_414749.2,GCF_000005845.2__NP_414749.2,b0213,yafS,gene-b0213,mapped
GCF_000005845.2,GCF_000005845.2,NP_414750.1,GCF_000005845.2__NP_414750.1,b0214,rnhA,gene-b0214,mapped
GCF_000005845.2,GCF_000005845.2,NP_414751.1,GCF_000005845.2__NP_414751.1,b0215,dnaQ,gene-b0215,mapped
GCF_000005845.2,GCF_000005845.2,NP_414752.1,GCF_000005845.2__NP_414752.1,b0217,yafT,gene-b0217,mapped
GCF_000005845.2,GCF_000005845.2,NP_414754.1,GCF_000005845.2__NP_414754.1,b0219,yafV,gene-b0219,mapped
GCF_000005845.2,GCF_000005845.2,NP_414755.1,GCF_000005845.2__NP_414755.1,b0220,ivy,gene-b0220,mapped
GCF_000005845.2,GCF_000005845.2,NP_414756.2,GCF_000005845.2__NP_414756.2,b0221,fadE,gene-b0221,mapped
GCF_000005845.2,GCF_000005845.2,NP_414757.1,GCF_000005845.2__NP_414757.1,b0222,gmhA,gene-b0222,mapped
GCF_000005845.2,GCF_000005845.2,NP_414758.1,GCF_000005845.2__NP_414758.1,b0223,yafJ,gene-b0223,mapped
GCF_000005845.2,GCF_000005845.2,NP_414759.1,GCF_000005845.2__NP_414759.1,b0224,dpaA,gene-b0224,mapped
GCF_000005845.2,GCF_000005845.2,NP_414760.1,GCF_000005845.2__NP_414760.1,b0225,yafQ,gene-b0225,mapped
GCF_000005845.2,GCF_000005845.2,NP_414761.1,GCF_000005845.2__NP_414761.1,b0226,dinJ,gene-b0226,mapped
GCF_000005845.2,GCF_000005845.2,NP_414762.1,GCF_000005845.2__NP_414762.1,b0227,yafL,gene-b0227,mapped
GCF_000005845.2,GCF_000005845.2,NP_414763.1,GCF_000005845.2__NP_414763.1,b0228,rayT,gene-b0228,mapped
GCF_000005845.2,GCF_000005845.2,NP_414766.1,GCF_000005845.2__NP_414766.1,b0231,dinB,gene-b0231,mapped
GCF_000005845.2,GCF_000005845.2,NP_414767.1,GCF_000005845.2__NP_414767.1,b0232,yafN,gene-b0232,mapped
GCF_000005845.2,GCF_000005845.2,NP_414768.1,GCF_000005845.2__NP_414768.1,b0233,yafO,gene-b0233,mapped
